onset	duration	trial_type
16	10	2D_object-scrambled
36	10	3D_scene
56	10	3D_object-scrambled
76	10	3D_face
96	10	3D_body-part
116	10	2D_face
136	10	3D_object-solid
156	10	2D_scene
176	10	2D_body-part
196	10	2D_object-solid
216	10	3D_body-part
236	10	2D_scene
256	10	2D_face
276	10	3D_scene
296	10	3D_object-solid
316	10	2D_object-scrambled
336	10	2D_object-solid
356	10	3D_face
376	10	3D_object-scrambled
396	10	2D_body-part
