onset	duration	trial_type
16	10	3D_face
36	10	2D_scene
56	10	2D_object-scrambled
76	10	3D_scene
96	10	2D_object-solid
116	10	3D_body-part
136	10	3D_object-solid
156	10	2D_face
176	10	3D_object-scrambled
196	10	2D_body-part
216	10	2D_scene
236	10	2D_body-part
256	10	3D_object-scrambled
276	10	2D_object-solid
296	10	2D_object-scrambled
316	10	2D_face
336	10	3D_body-part
356	10	3D_face
376	10	3D_object-solid
396	10	3D_scene
