onset	duration	trial_type
16	10	2D_scene
36	10	2D_object-scrambled
56	10	3D_face
76	10	3D_object-scrambled
96	10	3D_body-part
116	10	2D_object-solid
136	10	2D_body-part
156	10	3D_scene
176	10	2D_face
196	10	3D_object-solid
216	10	3D_face
236	10	2D_body-part
256	10	2D_object-scrambled
276	10	3D_scene
296	10	3D_body-part
316	10	2D_face
336	10	2D_scene
356	10	2D_object-solid
376	10	3D_object-scrambled
396	10	3D_object-solid
