onset	duration	trial_type
16	10	2D_body-part
36	10	2D_object-scrambled
56	10	2D_face
76	10	3D_scene
96	10	3D_object-scrambled
116	10	3D_object-solid
136	10	2D_scene
156	10	2D_object-solid
176	10	3D_body-part
196	10	3D_face
216	10	2D_object-scrambled
236	10	2D_body-part
256	10	3D_scene
276	10	2D_face
296	10	3D_body-part
316	10	3D_object-solid
336	10	3D_face
356	10	2D_object-solid
376	10	3D_object-scrambled
396	10	2D_scene
