onset	duration	trial_type
16	10	3D_object-scrambled
36	10	3D_face
56	10	2D_scene
76	10	2D_object-solid
96	10	3D_body-part
116	10	3D_object-solid
136	10	2D_face
156	10	2D_body-part
176	10	2D_object-scrambled
196	10	3D_scene
216	10	3D_face
236	10	3D_object-scrambled
256	10	2D_body-part
276	10	3D_scene
296	10	3D_body-part
316	10	2D_face
336	10	3D_object-solid
356	10	2D_object-scrambled
376	10	2D_object-solid
396	10	2D_scene
