onset	duration	trial_type
16	10	2D_scene
36	10	3D_object-scrambled
56	10	3D_scene
76	10	3D_body-part
96	10	2D_face
116	10	2D_body-part
136	10	2D_object-solid
156	10	3D_face
176	10	2D_object-scrambled
196	10	3D_object-solid
216	10	3D_body-part
236	10	3D_object-scrambled
256	10	3D_face
276	10	2D_object-solid
296	10	3D_scene
316	10	2D_face
336	10	2D_scene
356	10	3D_object-solid
376	10	2D_object-scrambled
396	10	2D_body-part
