onset	duration	trial_type
16	10	2D_face
36	10	2D_object-scrambled
56	10	2D_scene
76	10	3D_face
96	10	3D_object-solid
116	10	3D_object-scrambled
136	10	3D_body-part
156	10	3D_scene
176	10	2D_object-solid
196	10	2D_body-part
216	10	2D_object-solid
236	10	3D_scene
256	10	2D_object-scrambled
276	10	3D_object-solid
296	10	3D_face
316	10	2D_scene
336	10	3D_body-part
356	10	2D_face
376	10	2D_body-part
396	10	3D_object-scrambled
